Season,Second_HOH,Place,Number
2,Krista,6,12
3,Marcellas,5,12
4,Jee,5,13
5,Marvin,6,14
6,Eric,13,14
7,Kaysar,10,14
8,Jen,8,16
9,Chelsia ,8,13
9,James,6,13
10,Jessie,10,13
11,Ronnie,9,13
12,Rachel,9,14
13,Jordan,4,16
14,Frank,7,16
15,Aaryn,8,16
16,Devin,14,17
17,Shelli,10,16
18,Paulie,9,13
19,Paul,2,17
20,Kaitlyn,13,16
21,Jack,11,16
22,Memphis,5,16
23,Kyland,4,16
24,Jasmine,10,16
