Season,First_HOH,Place,Number
2,Boogie,8,12
3,Lisa,1,12
4,Nathan,8,13
5,Jase,10,14
6,Rachel,8,14
7,Janele,3,14
7,Jase,12,14
8,Kail,10,16
9,Alex & Amanda,12,13
10,Jerry,3,13
11,Jessie,8,13
12,Hayden,1,14
13,Rachel,1,16
14,Willi,11,16
15,McCrae,4,16
16,Caleb,4,17
17,James,7,16
18,Nicole,1,13
19,Cody,11,17
20,Tyler,2,16
21,Christie,6,16
22,Cody,1,16
23,Frenchie,15,16
24,Daniel,12,16
